WordItem,WordColor,thisRepN,key_resp_2.keys,key_resp_2.rt
depression,blue,0,,
excited,yellow,0,,
joyous,yellow,0,,
anxiety,blue,0,,
vexed,blue,0,,
content,yellow,0,,
depression,blue,1,,
excited,yellow,1,,
anxiety,blue,1,,
vexed,blue,1,,
joyous,yellow,1,,
content,yellow,1,,
excited,yellow,2,,
depression,blue,2,,
joyous,yellow,2,,
content,yellow,2,,
anxiety,blue,2,,
vexed,blue,2,,
depression,blue,3,,
content,yellow,3,,
excited,yellow,3,,
vexed,blue,3,,
joyous,yellow,3,,
anxiety,blue,3,,
vexed,blue,4,,
joyous,yellow,4,,
content,yellow,4,,
depression,blue,4,,
anxiety,blue,4,,
excited,yellow,4,,
,,,,
,,,,
depression,blue,0,y,1.689656
ashamed,None,0,n,1.524973
calm,None,0,y,0.789137
aggravated,None,0,n,1.059993
fascinated,None,0,n,0.724143
anxiety,blue,0,y,0.425471
joyous,yellow,0,y,0.544495
content,yellow,0,n,0.516906
delighted,None,0,y,0.353385
jealous,None,0,y,0.413432
vexed,blue,0,n,0.385435
excited,yellow,0,y,0.649077
vexed,blue,1,y,0.888706
delighted,None,1,y,0.841725
fascinated,None,1,n,0.590898
ashamed,None,1,y,0.621966
calm,None,1,n,0.825183
jealous,None,1,y,0.702937
anxiety,blue,1,y,0.631244
joyous,yellow,1,y,0.625324
depression,blue,1,y,0.845553
aggravated,None,1,n,0.577733
excited,yellow,1,n,0.817425
content,yellow,1,n,0.43955
anxiety,blue,2,y,0.486831
jealous,None,2,y,1.419843
excited,yellow,2,n,0.88721
joyous,yellow,2,y,0.559907
vexed,blue,2,y,0.937458
delighted,None,2,y,0.619917
depression,blue,2,y,0.621023
calm,None,2,y,0.714872
content,yellow,2,n,0.477381
fascinated,None,2,n,0.766275
ashamed,None,2,y,0.718685
aggravated,None,2,n,0.668016
depression,blue,3,y,0.859987
ashamed,None,3,n,0.661948
jealous,None,3,n,0.724966
content,yellow,3,y,0.473395
fascinated,None,3,y,0.502161
joyous,yellow,3,y,0.524761
aggravated,None,3,n,0.522934
delighted,None,3,n,0.617946
calm,None,3,y,0.389228
excited,yellow,3,y,0.448048
anxiety,blue,3,y,0.445039
vexed,blue,3,y,0.353597
excited,yellow,4,y,0.418484
aggravated,None,4,n,0.641071
vexed,blue,4,y,0.742265
joyous,yellow,4,y,0.485738
depression,blue,4,y,0.39835
fascinated,None,4,y,0.387449
content,yellow,4,n,0.501287
ashamed,None,4,y,0.51514
anxiety,blue,4,n,0.483799
jealous,None,4,n,0.702666
delighted,None,4,y,0.358718
calm,None,4,y,0.328246
jealous,None,0,y,0.859799
ashamed,None,0,y,0.400734
vexed,blue,0,y,0.334066
excited,yellow,0,y,0.307624
calm,None,0,y,0.31824
anxiety,blue,0,y,0.296533
fascinated,None,0,y,0.382396
joyous,yellow,0,y,0.342635
delighted,None,0,y,0.322665
depression,blue,0,y,0.382841
content,yellow,0,y,0.402352
aggravated,None,0,n,0.772083
anxiety,blue,1,y,0.591412
depression,blue,1,y,0.15623
ashamed,None,1,y,0.138994
jealous,None,1,y,0.135867
vexed,blue,1,y,0.154786
excited,yellow,1,y,0.32048
calm,None,1,y,0.337273
delighted,None,1,y,0.342465
content,yellow,1,y,0.319062
aggravated,None,1,n,0.79441
joyous,yellow,1,n,0.469802
fascinated,None,1,y,0.411137
anxiety,blue,2,y,0.499749
excited,yellow,2,n,0.292882
delighted,None,2,y,0.243071
content,yellow,2,y,0.533506
calm,None,2,y,0.306604
ashamed,None,2,n,0.279738
depression,blue,2,y,0.264868
aggravated,None,2,y,0.417271
jealous,None,2,y,0.46954
joyous,yellow,2,y,0.243101
vexed,blue,2,n,0.302686
fascinated,None,2,y,0.302068
excited,yellow,3,y,0.491669
aggravated,None,3,n,0.459112
calm,None,3,n,0.58467
content,yellow,3,y,0.256357
fascinated,None,3,y,0.376356
anxiety,blue,3,n,0.326089
vexed,blue,3,y,0.316372
ashamed,None,3,y,0.359827
joyous,yellow,3,y,0.270476
depression,blue,3,y,0.457118
delighted,None,3,y,0.322545
jealous,None,3,n,0.441976
excited,yellow,4,y,0.374798
vexed,blue,4,y,0.259602
content,yellow,4,y,0.208014
delighted,None,4,y,0.363681
fascinated,None,4,y,0.329436
calm,None,4,y,0.381855
anxiety,blue,4,y,0.674314
jealous,None,4,y,0.424073
joyous,yellow,4,y,0.328633
depression,blue,4,y,0.335151
ashamed,None,4,y,0.330082
aggravated,None,4,n,0.789841
,,,mean = ,0.4633409413
