WordItem,WordColor,thisRepN,key_resp_2.keys,key_resp_2.rt
vexed,blue,0,,
joyous,yellow,0,,
content,yellow,0,,
excited,yellow,0,,
depression,blue,0,,
anxiety,blue,0,,
vexed,blue,1,,
depression,blue,1,,
content,yellow,1,,
joyous,yellow,1,,
anxiety,blue,1,,
excited,yellow,1,,
vexed,blue,2,,
joyous,yellow,2,,
depression,blue,2,,
anxiety,blue,2,,
content,yellow,2,,
excited,yellow,2,,
excited,yellow,3,,
vexed,blue,3,,
content,yellow,3,,
depression,blue,3,,
joyous,yellow,3,,
anxiety,blue,3,,
anxiety,blue,4,,
excited,yellow,4,,
content,yellow,4,,
depression,blue,4,,
vexed,blue,4,,
joyous,yellow,4,,
,,,,
,,,,
fascinated,None,0,n,0.1316353
ashamed,None,0,y,0.6052118
calm,None,0,y,0.579348
jealous,None,0,y,0.4621539
vexed,blue,0,y,0.5679305
depression,blue,0,y,0.4972738
excited,yellow,0,y,0.8504695
joyous,yellow,0,y,0.412051
delighted,None,0,n,0.0427504
anxiety,blue,0,y,0.4941394
aggravated,None,0,n,0.5253112
content,yellow,0,y,0.5377715
depression,blue,1,y,0.316841
joyous,yellow,1,y,0.6099486
ashamed,None,1,y,0.4742261
anxiety,blue,1,y,0.7089453
fascinated,None,1,n,0.550701
content,yellow,1,y,0.6569553
calm,None,1,y,0.3284431
vexed,blue,1,y,0.3753153
excited,yellow,1,y,0.3367403
jealous,None,1,y,0.3656877
delighted,None,1,n,0.4773244
aggravated,None,1,y,0.5280156
delighted,None,2,y,0.9800297
anxiety,blue,2,y,0.4885575
excited,yellow,2,y,0.5106954
jealous,None,2,y,0.5189798
ashamed,None,2,y,0.7619036
content,yellow,2,y,0.4197363
vexed,blue,2,y,0.4032062
joyous,yellow,2,y,0.3421653
depression,blue,2,y,0.8269012
calm,None,2,y,0.4799595
fascinated,None,2,n,0.6381877
aggravated,None,2,n,0.6263922
ashamed,None,3,y,0.6026964
aggravated,None,3,n,0.6003488
joyous,yellow,3,y,0.5708758
jealous,None,3,y,0.4593823
calm,None,3,y,0.3566828
anxiety,blue,3,y,0.8451493
excited,yellow,3,y,0.7161421
delighted,None,3,n,0.5549354
vexed,blue,3,y,0.5270712
fascinated,None,3,n,0.3507379
depression,blue,3,y,0.6582985
content,yellow,3,y,0.5169804
ashamed,None,4,y,0.5468076
vexed,blue,4,y,0.4678249
fascinated,None,4,n,0.2838754
joyous,yellow,4,y,0.5102404
delighted,None,4,n,0.1333924
jealous,None,4,y,0.4557227
calm,None,4,y,0.3989717
anxiety,blue,4,y,0.4346374
excited,yellow,4,y,0.4093121
content,yellow,4,y,0.6473486
aggravated,None,4,n,0.4965764
depression,blue,4,y,0.5154388
calm,None,0,y,0.8765533
aggravated,None,0,n,0.7515153
excited,yellow,0,n,0.0866133
fascinated,None,0,n,0.6556722
joyous,yellow,0,y,0.792628
vexed,blue,0,y,0.7746175
anxiety,blue,0,y,0.6857779
jealous,None,0,y,0.639746
delighted,None,0,n,0.167839
depression,blue,0,y,0.104678
ashamed,None,0,y,0.2724488
content,yellow,0,y,0.6420088
content,yellow,1,y,0.5027115
anxiety,blue,1,y,0.7134371
vexed,blue,1,n,0.6244716
depression,blue,1,y,0.0917829
aggravated,None,1,n,0.6897824
fascinated,None,1,n,0.621308
calm,None,1,n,0.354447
joyous,yellow,1,y,0.7857084
delighted,None,1,y,0.7232031
jealous,None,1,y,0.6431485
ashamed,None,1,y,0.6069833
excited,yellow,1,y,2.9767949
aggravated,None,2,n,0.6977604
jealous,None,2,y,0.7346125
vexed,blue,2,y,0.554902
content,yellow,2,y,1.8035274
fascinated,None,2,n,0.6226868
excited,yellow,2,y,0.8555747
ashamed,None,2,y,0.7094051
depression,blue,2,y,0.8745657
calm,None,2,y,1.3269455
anxiety,blue,2,y,2.0495115
delighted,None,2,n,0.8957942
joyous,yellow,2,y,0.638052
ashamed,None,3,y,0.867573
calm,None,3,y,0.5965337
aggravated,None,3,n,0.6796185
excited,yellow,3,y,0.7078254
anxiety,blue,3,y,0.5685421
content,yellow,3,y,0.7569448
joyous,yellow,3,y,0.6725681
vexed,blue,3,y,2.5479108
delighted,None,3,n,2.1361292
fascinated,None,3,n,0.7037749
depression,blue,3,y,0.6774189
jealous,None,3,y,1.7482117
depression,blue,4,y,0.577763
excited,yellow,4,y,1.844205
calm,None,4,n,1.0740303
content,yellow,4,y,0.7162142
aggravated,None,4,n,0.5563344
anxiety,blue,4,y,0.6527661
fascinated,None,4,y,0.5453382
jealous,None,4,y,0.5035606
vexed,blue,4,y,0.499918
ashamed,None,4,n,0.7249274
delighted,None,4,n,0.5673658
joyous,yellow,4,y,0.7051524
,,,mean = ,0.5633620804
