19.5302 	INFO 	Loaded monitor calibration from ['2024_08_23 11:36']
19.5491 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
20.4574 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000217AC7F2590>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000217AC7F3280>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000217AC8ABFA0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.4574 	EXP 	window1: backgroundImage = ''
20.4574 	EXP 	window1: backgroundFit = 'none'
20.5167 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
20.5168 	EXP 	window1: recordFrameIntervals = False
20.7777 	EXP 	window1: recordFrameIntervals = True
20.9609 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
20.9609 	EXP 	window1: recordFrameIntervals = False
23.9076 	INFO 	keyboard.Keyboard is using iohub backend.
23.9077 	INFO 	keyboard.Keyboard is using iohub backend.
23.9077 	EXP 	Delay dfiscounting: status = STARTED
23.9165 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
23.9888 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0160 	EXP 	Imported C:/Users/mssaa/Downloads/Discounting - Sheet1.csv as conditions, 7 conditions, 3 params
0.0169 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.2281 	EXP 	text: height = 0.05
0.2281 	EXP 	text: height = 0.05
0.2281 	EXP 	text: height = 0.05
0.2281 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
0.2281 	EXP 	fixation: autoDraw = True
1.0112 	INFO 	Keyboard events cleared
1.0109 	EXP 	text: autoDraw = True
1.2289 	EXP 	fixation: autoDraw = False
2.0118 	EXP 	text: autoDraw = False
5.2443 	DATA 	Keypress: space
6.5434 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
6.5492 	DATA 	Keypress: t
6.5586 	EXP 	fixation: autoDraw = False
6.5586 	EXP 	text: autoDraw = False
6.5586 	EXP 	text: height = 0.05
6.5586 	EXP 	text: height = 0.05
6.5586 	EXP 	text: height = 0.05
6.5586 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
6.5586 	EXP 	fixation: autoDraw = True
7.5432 	INFO 	Keyboard events cleared
7.5429 	EXP 	text: autoDraw = True
7.5593 	EXP 	fixation: autoDraw = False
8.5420 	EXP 	text: autoDraw = False
8.7094 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
8.7140 	DATA 	Keypress: l
8.7244 	EXP 	fixation: autoDraw = False
8.7244 	EXP 	text: autoDraw = False
8.7244 	EXP 	text: height = 0.05
8.7244 	EXP 	text: height = 0.05
8.7244 	EXP 	text: height = 0.05
8.7244 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
8.7244 	EXP 	fixation: autoDraw = True
9.7249 	INFO 	Keyboard events cleared
9.7246 	EXP 	fixation: autoDraw = False
9.7246 	EXP 	text: autoDraw = True
10.4918 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
10.4966 	DATA 	Keypress: t
10.5070 	EXP 	fixation: autoDraw = False
10.5070 	EXP 	text: autoDraw = False
10.5070 	EXP 	text: height = 0.05
10.5070 	EXP 	text: height = 0.05
10.5070 	EXP 	text: height = 0.05
10.5070 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
10.5070 	EXP 	fixation: autoDraw = True
11.5074 	INFO 	Keyboard events cleared
11.5071 	EXP 	fixation: autoDraw = False
11.5071 	EXP 	text: autoDraw = True
12.1240 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
12.1268 	DATA 	Keypress: l
12.1407 	EXP 	fixation: autoDraw = False
12.1407 	EXP 	text: autoDraw = False
12.1407 	EXP 	text: height = 0.05
12.1407 	EXP 	text: height = 0.05
12.1407 	EXP 	text: height = 0.05
12.1407 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
12.1407 	EXP 	fixation: autoDraw = True
13.1232 	INFO 	Keyboard events cleared
13.1230 	EXP 	text: autoDraw = True
13.1400 	EXP 	fixation: autoDraw = False
14.1227 	EXP 	text: autoDraw = False
14.6571 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
14.6607 	DATA 	Keypress: t
14.6718 	EXP 	fixation: autoDraw = False
14.6718 	EXP 	text: autoDraw = False
14.6718 	EXP 	text: height = 0.05
14.6718 	EXP 	text: height = 0.05
14.6718 	EXP 	text: height = 0.05
14.6718 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
14.6718 	EXP 	fixation: autoDraw = True
15.6727 	INFO 	Keyboard events cleared
15.6724 	EXP 	fixation: autoDraw = False
15.6724 	EXP 	text: autoDraw = True
16.6719 	EXP 	text: autoDraw = False
18.4052 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
18.4085 	DATA 	Keypress: l
18.4202 	EXP 	fixation: autoDraw = False
18.4202 	EXP 	text: autoDraw = False
18.4202 	EXP 	text: height = 0.05
18.4202 	EXP 	text: height = 0.05
18.4202 	EXP 	text: height = 0.05
18.4202 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
18.4202 	EXP 	fixation: autoDraw = True
19.4207 	INFO 	Keyboard events cleared
