reward_today,future_reward,delay,key_resp.keys,k
11,30,7,l,1.890245
11,30,7,l,2.015117
11,30,7,l,1.293176
11,30,7,l,1.602605
11,30,7,l,2.382308
11,30,7,t,0.234005
11,30,7,l,1.160082
11,30,7,l,1.043823
11,30,7,t,0.840998
11,30,7,l,0.914757
11,30,7,l,0.743045
11,30,7,l,0.663637
11,30,7,l,0.785943
11,30,7,l,1.4231
11,30,7,l,0.652907
11,30,7,l,0.94391
11,30,7,l,0.663012
11,30,7,l,0.741494
11,30,7,l,0.600242
11,30,7,l,0.642314
11,30,7,l,0.460782
11,30,7,l,0.973088
11,30,7,l,0.534166
11,30,7,l,0.839039
11,30,7,l,0.639658
11,30,7,l,0.531348
11,30,7,l,0.585423
11,30,7,l,0.426976
11,30,7,t,0.350829
11,30,7,t,0.267125
11,30,7,l,0.478285
11,30,7,l,0.598831
11,30,7,l,0.46264
11,30,7,l,0.306372
11,30,7,l,0.401459
11,30,7,l,0.419954
11,30,7,l,0.550181
11,30,7,t,0.761542
11,30,7,l,0.64586
11,30,7,l,0.479852
11,30,7,l,0.466697
11,30,7,l,0.50046
11,30,7,l,0.318577
11,30,7,l,0.445519
11,30,7,l,0.99542
11,30,7,l,0.394281
11,30,7,l,0.293304
11,30,7,l,0.448036
11,30,7,l,0.494942
11,30,7,l,0.468308
11,30,7,l,0.417654
11,30,7,l,1.193535
11,30,7,l,0.445534
11,30,7,l,0.48076
11,30,7,l,0.606098
11,30,7,l,0.528011
11,30,7,l,0.601685
11,30,7,l,0.495025
11,30,7,l,1.664343
11,30,7,l,0.527315
11,30,7,l,0.378222
11,30,7,l,0.435174
11,30,7,l,0.580828
11,30,7,l,0.57236
11,30,7,l,0.563956
11,30,7,l,0.333488
15,35,13,t,0.960234
15,35,13,t,0.51707
15,35,13,l,2.070081
15,35,13,l,1.946931
15,35,13,l,1.211991
15,35,13,l,0.156183
15,35,13,l,1.168969
15,35,13,l,0.981539
15,35,13,l,1.080968
15,35,13,l,1.237643
15,35,13,l,0.794181
15,35,13,t,0.328984
15,35,13,l,0.818338
15,35,13,l,0.75159
15,35,13,l,0.768052
15,35,13,l,0.93882
15,35,13,l,0.948886
15,35,13,l,1.065342
15,35,13,l,0.433751
15,35,13,l,0.644786
15,35,13,l,0.467542
15,35,13,l,0.8349
15,35,13,l,0.712518
15,35,13,l,0.767937
15,35,13,l,0.54557
15,35,13,t,0.300115
15,35,13,l,0.593342
15,35,13,l,0.484534
15,35,13,l,0.385828
15,35,13,l,0.338912
15,35,13,l,0.949046
15,35,13,l,0.648137
15,35,13,l,0.547453
,,,,
,mean value of K,0.4814408563,,
