reward_today,future_reward,key_resp.keys,key_resp.rt,,,
11,30,l,1.191562,,,
11,30,l,0.578278,,,
11,30,l,0.781458,,,
11,30,l,0.616257,,,
11,30,l,0.593034,,,
11,30,l,0.438043,,,
11,30,l,0.766595,,,
11,30,l,0.421016,,Value of K,0.4544726617
11,30,l,0.438431,,,
11,30,l,0.411077,,,
11,30,l,0.351685,,,
11,30,l,0.46653,,,
11,30,l,0.36867,,,
11,30,l,0.519784,,,
11,30,l,0.402226,,,
11,30,l,0.401433,,,
11,30,t,6.79856,,,
11,30,l,0.438109,,,
15,35,l,0.51304,,,
15,35,l,0.35994,,,
15,35,l,0.38436,,,
15,35,l,0.517767,,,
15,35,l,0.429591,,,
15,35,l,0.368276,,,
15,35,l,0.499336,,,
15,35,l,1.167222,,,
15,35,l,0.370718,,,
15,35,l,0.650971,,,
15,35,l,0.493171,,,
15,35,l,0.517884,,,
15,35,l,0.335794,,,
15,35,l,0.288001,,,
15,35,l,0.511096,,,
15,35,l,0.858717,,,
15,35,l,2.464786,,,
15,35,l,0.401151,,,
27,50,l,1.249613,,,
27,50,t,34.76143,,,
27,50,l,0.430576,,,
27,50,l,0.489042,,,
27,50,l,0.32105,,,
27,50,l,0.670694,,,
27,50,l,0.577796,,,
27,50,l,0.470878,,,
27,50,l,0.310724,,,
27,50,l,0.444429,,,
27,50,l,0.377743,,,
27,50,l,0.42402,,,
27,50,l,0.378093,,,
27,50,l,0.546282,,,
27,50,l,1.541426,,,
27,50,l,0.583697,,,
27,50,l,0.630096,,,
27,50,l,0.385289,,,
40,55,l,0.991527,,,
40,55,l,0.678651,,,
40,55,l,0.413239,,,
40,55,l,0.40364,,,
40,55,l,0.328015,,,
40,55,l,0.353951,,,
40,55,l,0.682907,,,
40,55,l,0.468476,,,
40,55,l,0.316601,,,
40,55,l,0.441318,,,
40,55,l,0.402008,,,
40,55,l,0.3709,,,
40,55,l,0.493488,,,
40,55,l,0.356104,,,
40,55,l,0.783052,,,
40,55,l,0.469447,,,
40,55,t,3.418628,,,
40,55,l,0.394851,,,
49,60,l,0.781981,,,
49,60,l,1.19272,,,
49,60,l,0.495565,,,
49,60,l,0.443002,,,
49,60,l,0.330225,,,
49,60,l,1.51031,,,
49,60,l,0.732319,,,
49,60,l,0.535273,,,
49,60,l,0.394946,,,
49,60,l,0.51909,,,
49,60,l,0.460843,,,
49,60,l,0.68032,,,
49,60,l,0.407087,,,
49,60,l,0.376211,,,
49,60,l,0.324037,,,
49,60,l,0.408615,,,
49,60,l,0.347772,,,
49,60,l,0.411455,,,
49,60,l,0.398252,,,
67,75,t,0.465221,,,
67,75,t,0.445566,,,
67,75,t,0.517595,,,
67,75,t,0.474645,,,
67,75,t,0.36284,,,
67,75,t,0.506793,,,
67,75,t,0.362279,,,
67,75,t,0.926932,,,
