14.0886 	INFO 	Loaded monitor calibration from ['2024_08_23 11:36']
14.1004 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
14.4979 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000010FCA2A25F0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000010FCA2A32E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000010FCA360040>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.4981 	EXP 	window1: backgroundImage = ''
14.4981 	EXP 	window1: backgroundFit = 'none'
14.5814 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.5815 	EXP 	window1: recordFrameIntervals = False
14.8559 	EXP 	window1: recordFrameIntervals = True
15.0380 	EXP 	Screen (0) actual frame rate measured at 60.50Hz
15.0380 	EXP 	window1: recordFrameIntervals = False
19.0166 	INFO 	keyboard.Keyboard is using iohub backend.
19.0167 	INFO 	keyboard.Keyboard is using iohub backend.
19.0167 	EXP 	Delay dfiscounting: status = STARTED
19.0207 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
19.0547 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0120 	EXP 	Imported C:/Users/mssaa/Downloads/Discounting - Sheet1.csv as conditions, 7 conditions, 3 params
0.0166 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.1044 	EXP 	text: height = 0.05
0.1044 	EXP 	text: height = 0.05
0.1044 	EXP 	text: height = 0.05
0.1044 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
0.1044 	EXP 	fixation: autoDraw = True
1.0032 	INFO 	Keyboard events cleared
1.0028 	EXP 	text: autoDraw = True
1.1033 	EXP 	fixation: autoDraw = False
2.0416 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
2.0474 	DATA 	Keypress: l
2.0523 	EXP 	fixation: autoDraw = False
2.0523 	EXP 	text: autoDraw = False
2.0523 	EXP 	text: height = 0.05
2.0523 	EXP 	text: height = 0.05
2.0523 	EXP 	text: height = 0.05
2.0523 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
2.0523 	EXP 	fixation: autoDraw = True
3.0535 	INFO 	Keyboard events cleared
3.0531 	EXP 	fixation: autoDraw = False
3.0531 	EXP 	text: autoDraw = True
3.7201 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
3.7259 	DATA 	Keypress: l
3.7351 	EXP 	fixation: autoDraw = False
3.7351 	EXP 	text: autoDraw = False
3.7351 	EXP 	text: height = 0.05
3.7351 	EXP 	text: height = 0.05
3.7351 	EXP 	text: height = 0.05
3.7351 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
3.7351 	EXP 	fixation: autoDraw = True
4.7357 	INFO 	Keyboard events cleared
4.7351 	EXP 	fixation: autoDraw = False
4.7351 	EXP 	text: autoDraw = True
5.3358 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
5.3416 	DATA 	Keypress: t
5.3506 	EXP 	fixation: autoDraw = False
5.3506 	EXP 	text: autoDraw = False
5.3506 	EXP 	text: height = 0.05
5.3506 	EXP 	text: height = 0.05
5.3506 	EXP 	text: height = 0.05
5.3506 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
5.3506 	EXP 	fixation: autoDraw = True
6.3529 	INFO 	Keyboard events cleared
6.3524 	EXP 	fixation: autoDraw = False
6.3524 	EXP 	text: autoDraw = True
7.1854 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
7.1920 	DATA 	Keypress: t
7.2000 	EXP 	fixation: autoDraw = False
7.2000 	EXP 	text: autoDraw = False
7.2000 	EXP 	text: height = 0.05
7.2000 	EXP 	text: height = 0.05
7.2000 	EXP 	text: height = 0.05
7.2000 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
7.2000 	EXP 	fixation: autoDraw = True
8.2014 	INFO 	Keyboard events cleared
8.2009 	EXP 	fixation: autoDraw = False
8.2009 	EXP 	text: autoDraw = True
8.6678 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
8.6725 	DATA 	Keypress: t
8.6829 	EXP 	fixation: autoDraw = False
8.6829 	EXP 	text: autoDraw = False
8.6829 	EXP 	text: height = 0.05
8.6829 	EXP 	text: height = 0.05
8.6829 	EXP 	text: height = 0.05
8.6829 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
8.6829 	EXP 	fixation: autoDraw = True
9.6834 	INFO 	Keyboard events cleared
9.6830 	EXP 	fixation: autoDraw = False
9.6830 	EXP 	text: autoDraw = True
10.0841 	EXP 	New trial (rep=0, index=6): <Trial 6 (6 in rep 0) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 6, 'thisTrialN': 6, 'thisRepN': 0}>
10.0885 	DATA 	Keypress: t
10.0988 	EXP 	fixation: autoDraw = False
10.0988 	EXP 	text: autoDraw = False
10.0988 	EXP 	text: height = 0.05
10.0988 	EXP 	text: height = 0.05
10.0988 	EXP 	text: height = 0.05
10.0988 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
10.0988 	EXP 	fixation: autoDraw = True
11.0993 	INFO 	Keyboard events cleared
11.0990 	EXP 	fixation: autoDraw = False
11.0990 	EXP 	text: autoDraw = True
11.8661 	EXP 	New trial (rep=1, index=0): <Trial 7 (0 in rep 1) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 7, 'thisTrialN': 0, 'thisRepN': 1}>
11.8704 	DATA 	Keypress: t
11.8815 	EXP 	fixation: autoDraw = False
11.8815 	EXP 	text: autoDraw = False
11.8815 	EXP 	text: height = 0.05
11.8815 	EXP 	text: height = 0.05
11.8815 	EXP 	text: height = 0.05
11.8815 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
11.8815 	EXP 	fixation: autoDraw = True
12.8819 	INFO 	Keyboard events cleared
12.8816 	EXP 	fixation: autoDraw = False
12.8816 	EXP 	text: autoDraw = True
