reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,50,21,0,0,0,l,2.5770243000006303,None,0,0,0,2,0.07295699999667704,,0.056876499962527305,0.07295699999667704,1.0050124999834225,1.0050124999834225,1.0881720999605022,3.004250499943737,3.5905038999626413,l,2.5770243000006303,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
11,30,7,1,1,0,l,1.890244799957145,None,0,1,1,0,3.6039713999489322,,3.593948299996555,3.6039713999489322,4.603432399977464,4.603432399977464,4.603432399977464,,6.503220899961889,l,1.890244799957145,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
40,55,62,2,2,0,t,1.1890514999977313,None,0,2,2,3,6.5193713999469765,,6.506752299959771,6.5193713999469765,7.518732399970759,7.518732399970759,7.518732399970759,,8.719115399988368,t,1.1890514999977313,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
49,60,89,3,3,0,t,0.8877608000184409,None,0,3,3,4,8.734946199983824,,8.723589499946684,8.734946199983824,9.717841199948452,9.717841199948452,9.734518399985973,,10.618177599972114,t,0.8877608000184409,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,4,4,0,l,0.49379209999460727,None,0,4,4,5,10.634226799942553,,10.620342699985486,10.634226799942553,11.633945899957325,11.633945899957325,11.633945899957325,,12.134100599971134,l,0.49379209999460727,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,5,5,0,t,0.9602343000005931,None,0,5,5,1,12.150182899960782,,12.13628289999906,12.150182899960782,13.133517199952621,13.133517199952621,13.150136799959,,14.099999599973671,t,0.9602343000005931,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,6,6,0,l,0.45442439999897033,None,0,6,6,6,14.11608939996222,,14.102633599948604,14.11608939996222,15.116049599950202,15.116049599950202,15.116049599950202,,15.582503599987831,l,0.45442439999897033,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
15,35,13,7,0,1,t,0.5170704000047408,None,1,0,7,1,15.599163199949544,,15.584711899980903,15.599163199949544,16.59810429997742,16.59810429997742,16.59810429997742,,17.11666449997574,t,0.5170704000047408,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
67,75,119,8,1,1,l,0.6812541999970563,None,1,1,8,5,17.13127779995557,,17.118907500000205,17.13127779995557,18.131561899965163,18.131561899965163,18.131561899965163,,18.81447699997807,l,0.6812541999970563,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
27,50,21,9,2,1,l,0.6332244999939576,None,1,2,9,2,18.830658999970183,,18.816750399942975,18.830658999970183,19.81352689996129,19.81352689996129,19.830224799981806,,20.447981099947356,l,0.6332244999939576,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
78,80,162,10,3,1,l,0.596236500015948,None,1,3,10,6,20.4633200999815,,20.45063419995131,20.4633200999815,21.462896399956662,21.462896399956662,21.462896399956662,,22.06320739997318,l,0.596236500015948,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
49,60,89,11,4,1,t,2.5314329999964684,None,1,4,11,4,22.079363799944986,,22.065573899948504,22.079363799944986,23.078823299962096,23.078823299962096,23.078823299962096,25.077877299976535,25.61183519999031,t,2.5314329999964684,None,706337,001,2024-11-18_17h53.17.638,Delay dfiscounting,2024.2.4,59.609604766952685,2024-11-18 17h53.28.823402 +0530,
