WordItem,WordColor,thisRepN,key_resp_2.keys,key_resp_2.rt
depression,blue,0,,
content,yellow,0,,
joyous,yellow,0,,
anxiety,blue,0,,
excited,yellow,0,,
vexed,blue,0,,
excited,yellow,1,,
vexed,blue,1,,
anxiety,blue,1,,
depression,blue,1,,
joyous,yellow,1,,
content,yellow,1,,
content,yellow,2,,
depression,blue,2,,
excited,yellow,2,,
joyous,yellow,2,,
anxiety,blue,2,,
vexed,blue,2,,
vexed,blue,3,,
content,yellow,3,,
anxiety,blue,3,,
depression,blue,3,,
joyous,yellow,3,,
excited,yellow,3,,
anxiety,blue,4,,
content,yellow,4,,
depression,blue,4,,
joyous,yellow,4,,
vexed,blue,4,,
excited,yellow,4,,
,,,,
,,,,
delighted,None,0,y,7.395236
vexed,blue,0,y,0.922477
anxiety,blue,0,y,0.763346
depression,blue,0,y,0.52061
aggravated,None,0,n,1.156497
jealous,None,0,n,0.727504
calm,None,0,y,0.661253
ashamed,None,0,y,0.780202
content,yellow,0,n,1.201743
excited,yellow,0,y,0.534206
fascinated,None,0,y,0.489243
joyous,yellow,0,y,0.886676
content,yellow,1,n,1.09967
fascinated,None,1,n,1.23325
jealous,None,1,y,0.586477
anxiety,blue,1,y,0.324305
depression,blue,1,y,0.458765
excited,yellow,1,y,0.518586
aggravated,None,1,n,0.935707
delighted,None,1,n,0.76405
calm,None,1,y,0.839799
ashamed,None,1,y,0.696378
vexed,blue,1,y,0.642862
joyous,yellow,1,y,0.64902
joyous,yellow,2,y,1.782084
ashamed,None,2,y,1.167232
content,yellow,2,n,0.655928
anxiety,blue,2,y,0.715308
depression,blue,2,y,0.531307
jealous,None,2,y,0.501512
calm,None,2,y,1.203492
vexed,blue,2,y,0.471925
fascinated,None,2,n,0.886669
excited,yellow,2,y,0.859201
aggravated,None,2,n,0.807732
delighted,None,2,y,1.100948
anxiety,blue,3,y,0.424344
jealous,None,3,y,0.472366
calm,None,3,y,0.437383
fascinated,None,3,n,0.951696
excited,yellow,3,y,0.673293
aggravated,None,3,n,1.100596
joyous,yellow,3,y,0.72574
ashamed,None,3,y,2.143683
delighted,None,3,y,0.520796
content,yellow,3,n,0.808763
depression,blue,3,y,1.118292
vexed,blue,3,y,0.567385
excited,yellow,4,y,0.959866
joyous,yellow,4,y,0.475168
vexed,blue,4,y,0.417852
delighted,None,4,y,1.254052
depression,blue,4,y,0.727575
jealous,None,4,y,0.647542
content,yellow,4,n,0.685031
anxiety,blue,4,y,0.857188
ashamed,None,4,y,0.562348
aggravated,None,4,n,1.264964
fascinated,None,4,y,0.572657
calm,None,4,y,0.651054
ashamed,None,0,y,1.008501
jealous,None,0,y,0.79211
joyous,yellow,0,y,0.368738
delighted,None,0,y,0.278528
calm,None,0,y,0.62927
vexed,blue,0,y,0.479699
fascinated,None,0,n,0.848941
excited,yellow,0,y,0.703132
depression,blue,0,y,0.573115
content,yellow,0,y,0.394177
anxiety,blue,0,y,0.415121
aggravated,None,0,n,0.735978
jealous,None,1,y,0.610145
anxiety,blue,1,y,0.381915
ashamed,None,1,y,0.309598
fascinated,None,1,y,0.418367
depression,blue,1,y,0.53659
content,yellow,1,y,0.46022
aggravated,None,1,n,0.837092
delighted,None,1,y,0.749085
vexed,blue,1,y,0.600939
joyous,yellow,1,y,0.675164
calm,None,1,y,0.66419
excited,yellow,1,y,0.567165
aggravated,None,2,n,0.79362
ashamed,None,2,y,0.694191
fascinated,None,2,n,1.033485
delighted,None,2,y,0.564313
calm,None,2,y,0.334826
vexed,blue,2,y,0.596001
joyous,yellow,2,y,0.655987
jealous,None,2,y,0.533487
excited,yellow,2,y,0.43844
anxiety,blue,2,y,0.340681
depression,blue,2,y,0.496501
content,yellow,2,y,0.437908
fascinated,None,3,n,0.825392
jealous,None,3,y,0.522083
anxiety,blue,3,y,0.197855
calm,None,3,y,0.408674
aggravated,None,3,n,0.718474
content,yellow,3,y,0.581349
ashamed,None,3,y,0.531738
vexed,blue,3,y,0.376039
delighted,None,3,y,0.321594
excited,yellow,3,y,0.302981
joyous,yellow,3,y,0.417723
depression,blue,3,y,0.656533
ashamed,None,4,y,0.426383
calm,None,4,y,0.418737
excited,yellow,4,y,0.366791
vexed,blue,4,y,0.357456
fascinated,None,4,n,0.719507
aggravated,None,4,n,0.8785
content,yellow,4,y,0.799151
anxiety,blue,4,y,0.350353
delighted,None,4,y,0.168645
jealous,None,4,y,0.154306
depression,blue,4,y,0.467395
joyous,yellow,4,y,0.439975
,,,Mean = ,0.6208819258
