WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_screen.started,Welcome.started,keyWelcome.started,Welcome_screen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Instructions.started,textInstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,Study_trail.started,textStudytrail.started,textStudytrail.stopped,Study_trail.stopped,Blank_Screen.started,textBlank.started,Blank_Screen.stopped,textBlank.stopped,Wait_Screen.started,textWaitScreen.started,keyWaitScreen.started,Wait_Screen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,Y_N_Screen.started,text.started,key_resp.started,Y_N_Screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrails.started,text_2.started,key_resp_2.started,StudyTrails.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0037246,0.0211636,0.0211636,1.2430126,space,1.2109364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,1.2430612,1.2528675,1.2528675,1.7380776,space,0.4756997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
depression,blue,0,0,0,,,,0,0,0,1,,,,,1.7528738,,,,,,,,,,,,,,,,1.7473982,1.7528738,3.7539876,3.7377469,3.7377827,3.7539876,4.2529638,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
content,yellow,1,1,0,,,,0,1,1,5,,,,,4.2685863,,,,,,,,,,,,,,,,4.2556234,4.2685863,,6.2522802,6.2523322,6.2689569,6.7520249,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
joyous,yellow,2,2,0,,,,0,2,2,4,,,,,6.7672399,,,,,,,,,,,,,,,,6.7558822,6.7672399,,8.7518979,8.7519558,8.768342,9.2512861,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
anxiety,blue,3,3,0,,,,0,3,3,0,,,,,9.2665323,,,,,,,,,,,,,,,,9.253847,9.2665323,,11.2504341,11.2504778,11.2671112,11.7501391,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
excited ,yellow,4,4,0,,,,0,4,4,3,,,,,11.7656736,,,,,,,,,,,,,,,,11.7528389,11.7656736,,13.7499846,13.7500506,13.765707,14.2488374,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
vexed,blue,5,5,0,,,,0,5,5,2,,,,,14.2644448,,,,,,,,,,,,,,,,14.2523718,14.2644448,,16.2487436,16.2487863,16.2650468,16.7484687,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
excited ,yellow,6,0,1,,,,1,0,6,3,,,,,16.7634128,,,,,,,,,,,,,,,,16.7514115,16.7634128,,18.7469326,18.7469915,18.7637317,19.2466646,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
vexed,blue,7,1,1,,,,1,1,7,2,,,,,19.2626064,,,,,,,,,,,,,,,,19.2492196,19.2626064,,21.2460087,21.2460519,21.26259,21.7459444,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
anxiety,blue,8,2,1,,,,1,2,8,0,,,,,21.7612274,,,,,,,,,,,,,,,,21.7485025,21.7612274,,23.7450019,23.745041,23.761819,24.2447824,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
depression,blue,9,3,1,,,,1,3,9,1,,,,,24.2605018,,,,,,,,,,,,,,,,24.2477285,24.2605018,,26.2441837,26.2442279,26.2603392,26.7437062,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
joyous,yellow,10,4,1,,,,1,4,10,4,,,,,26.759117,,,,,,,,,,,,,,,,26.7461773,26.759117,,28.7422945,28.7423502,28.758993,29.242896,,,,,,,,,,,,,,,,,,,,,,,Dhieraj,1,2024-12-06_11h58.14.619,Solo project,2024.2.4,59.97767631,2024-12-06 11h58.32.448377 +0530
