delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beeb.started,sound_1.started,sound_1.stopped,beeb.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000,exp,0,0,0,space,17.815413500007708,None,200,1,[5.16447399999015],[5.164488000009442],0,0,0,3,0.08363169999211095,,0.06749960000161082,0.08363169999211095,1.0005554000090342,1.0005554000090342,1.084345300012501,18.832631400000537,space,17.815413500007708,None,18.833872899995185,18.94306036667355,19.27031779999379,19.24528649999411,19.246181800001068,19.27031779999379,19.27031779999379,19.27031779999379,24.435679599992,200,1,[5.16447399999015],[5.164488000009442],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,400,unexp,1,1,0,space,1.3476767000101972,None,200,1,[4.381682900013402],[4.381696800002828],0,1,1,1,24.450677199987695,,24.436042499990435,24.450677199987695,25.450111799989827,25.450111799989827,25.450111799989827,26.800854100001743,space,1.3476767000101972,None,26.801628100016387,27.215717666669903,27.54157299999497,27.512191399990115,27.512712199997623,27.54157299999497,27.54157299999497,27.54157299999497,31.924270399991656,200,1,[4.381682900013402],[4.381696800002828],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp,2,2,0,space,1.215320299990708,None,300,1,[2.054531000001589],[2.054545599996345],0,2,2,11,31.93894829999772,,31.924678500014124,31.93894829999772,32.9384679000068,32.9384679000068,32.9384679000068,34.1559785999998,space,1.215320299990708,None,34.15673869999591,34.871509766675686,35.19633529998828,35.17070789998979,35.17120919999434,35.19633529998828,35.19633529998828,35.19633529998828,37.251737100014,300,1,[2.054531000001589],[2.054545599996345],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,3,3,0,space,1.2333905999839772,None,200,1,[1.882486999995308],[1.8825037000060547],0,3,3,6,37.26679319998948,,37.252126900013536,37.26679319998948,38.26601980000851,38.26601980000851,38.26601980000851,39.516895100008696,space,1.2333905999839772,None,39.51765359999263,39.63255306665475,39.94168009998975,39.92805109999608,39.92853999999352,39.94168009998975,39.94168009998975,39.94168009998975,41.82507930000429,200,1,[1.882486999995308],[1.8825037000060547],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp ,4,4,0,space,1.0492698000161909,None,200,1,[2.150075100013055],[2.150089900009334],0,4,4,8,41.839748400001554,,41.825505000015255,41.839748400001554,42.83935230001225,42.83935230001225,42.83935230001225,43.890511800011154,space,1.0492698000161909,None,43.891319899994414,44.60579006668219,44.929863500001375,44.90951480000513,44.91001190000679,44.929863500001375,44.929863500001375,44.929863500001375,47.08085500000743,200,1,[2.150075100013055],[2.150089900009334],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,5,5,0,space,0.3027927999792155,None,100,1,[1.874461200000951],[1.8744765000010375],0,5,5,4,47.095823500014376,,47.081285299995216,47.095823500014376,48.095690899994224,48.095690899994224,48.095690899994224,48.41316930000903,space,0.3027927999792155,None,48.41394759999821,48.82825026667366,49.15345179999713,49.12875880001229,49.1292250000115,49.15345179999713,49.15345179999713,49.15345179999713,51.028882100014016,100,1,[1.874461200000951],[1.8744765000010375],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,400,unexp,6,6,0,space,0.2639472000009846,None,200,1,[2.2327500999963377],[2.2327637000125833],0,6,6,0,51.04397940001218,,51.02929130001576,51.04397940001218,52.04318549999152,52.04318549999152,52.04318549999152,52.31090069998754,space,0.2639472000009846,None,52.31177590001607,52.426446266679946,52.75176780001493,52.727922299993224,52.72842379999929,52.75176780001493,52.75176780001493,52.75176780001493,54.98535800000536,200,1,[2.2327500999963377],[2.2327637000125833],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.1,1000,exp,7,7,0,space,0.5074881000036839,None,300,1,[1.716765499993926],[1.7167809999955352],0,7,7,9,55.01119489999837,,54.9857478000049,55.01119489999837,56.00005940001574,56.00005940001574,56.01671180000994,56.51758429998881,space,0.5074881000036839,None,56.518421999993734,56.63304646665735,56.957998099998804,56.930752999993274,56.931313900015084,56.957998099998804,56.957998099998804,56.957998099998804,58.67570849999902,300,1,[1.716765499993926],[1.7167809999955352],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.7,1000,exp,8,8,0,space,0.5647316999966279,None,200,1,[1.9165433000016492],[1.9165636000107042],0,8,8,5,58.69069779998972,,58.676070799992885,58.69069779998972,59.690124100015964,59.690124100015964,59.690124100015964,60.2575441999943,space,0.5647316999966279,None,60.25839510001242,60.972721466682074,61.29788510000799,61.27200630001607,61.27249400000437,61.29788510000799,61.29788510000799,61.29788510000799,63.21533790000831,200,1,[1.9165433000016492],[1.9165636000107042],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
0.4,1000,exp,9,9,0,space,1.10528400001931,None,200,1,[1.5995653000136372],[1.5995794000045862],0,9,9,7,63.23041970000486,,63.215762400010135,63.23041970000486,64.23000760001014,64.23000760001014,64.23000760001014,65.34698420000495,space,1.10528400001931,None,65.34771470000851,65.76252116667844,66.0879116000142,66.06126350001432,66.06181740001193,66.0879116000142,66.0879116000142,66.0879116000142,67.68827529999544,200,1,[1.5995653000136372],[1.5995794000045862],933458,001,2024-11-08_14h24.13.576,Intentional binding,2024.2.2,60.134171362712756,2024-11-08 14h24.22.450074 +0530,
