WordItem,WordColor,thisRepN,key_resp_2.keys,key_resp_2.rt
content,yellow,0,,
anxiety,blue,0,,
vexed,blue,0,,
excited,yellow,0,,
depression,blue,0,,
joyous,yellow,0,,
vexed,blue,1,,
joyous,yellow,1,,
anxiety,blue,1,,
excited,yellow,1,,
depression,blue,1,,
content,yellow,1,,
anxiety,blue,2,,
content,yellow,2,,
depression,blue,2,,
vexed,blue,2,,
excited,yellow,2,,
joyous,yellow,2,,
vexed,blue,3,,
depression,blue,3,,
anxiety,blue,3,,
joyous,yellow,3,,
content,yellow,3,,
excited,yellow,3,,
depression,blue,4,,
content,yellow,4,,
vexed,blue,4,,
joyous,yellow,4,,
excited,yellow,4,,
anxiety,blue,4,,
,,,,
,,,,
calm,None,0,n,1.706541
jealous,None,0,y,1.192096
delighted,None,0,n,1.153506
fascinated,None,0,n,0.977786
depression,blue,0,y,0.86162
ashamed,None,0,y,1.857765
joyous,yellow,0,y,0.879502
anxiety,blue,0,y,0.578721
excited,yellow,0,y,0.555437
content,yellow,0,y,0.493664
vexed,blue,0,y,0.531257
aggravated,None,0,n,0.905333
jealous,None,1,y,1.593287
aggravated,None,1,n,1.212498
ashamed,None,1,y,0.962609
anxiety,blue,1,y,0.748571
fascinated,None,1,n,3.928995
vexed,blue,1,y,1.2674
depression,blue,1,y,0.72498
content,yellow,1,y,0.606047
calm,None,1,y,0.626142
delighted,None,1,n,0.835894
joyous,yellow,1,y,2.654114
excited,yellow,1,y,1.471815
anxiety,blue,2,y,1.040062
calm,None,2,n,1.867998
jealous,None,2,y,1.39742
vexed,blue,2,y,2.21358
depression,blue,2,y,0.83728
excited,yellow,2,y,0.585006
ashamed,None,2,n,1.253751
content,yellow,2,n,3.039237
delighted,None,2,n,1.096355
aggravated,None,2,n,0.787041
fascinated,None,2,n,1.54337
joyous,yellow,2,y,0.918348
aggravated,None,3,n,1.032999
ashamed,None,3,y,0.78397
fascinated,None,3,n,1.171203
depression,blue,3,y,1.101658
jealous,None,3,y,0.715814
content,yellow,3,y,0.609675
joyous,yellow,3,y,0.867159
calm,None,3,y,0.631334
vexed,blue,3,y,0.571834
excited,yellow,3,y,0.623779
delighted,None,3,n,1.058047
anxiety,blue,3,y,1.202696
content,yellow,4,n,2.432907
anxiety,blue,4,y,0.719274
excited,yellow,4,y,0.548059
fascinated,None,4,n,0.812187
ashamed,None,4,y,0.738199
delighted,None,4,y,0.565295
vexed,blue,4,y,0.58253
aggravated,None,4,n,0.88461
jealous,None,4,y,0.794242
joyous,yellow,4,y,0.567976
calm,None,4,y,0.750422
depression,blue,4,y,0.522205
jealous,None,0,y,1.073255
content,yellow,0,y,0.817013
fascinated,None,0,n,0.833621
aggravated,None,0,n,0.668774
anxiety,blue,0,y,0.730925
joyous,yellow,0,y,0.650247
excited,yellow,0,y,0.534807
ashamed,None,0,y,0.645815
depression,blue,0,y,0.5771
calm,None,0,y,0.490442
vexed,blue,0,y,0.510336
delighted,None,0,y,0.45685
calm,None,1,y,0.506324
fascinated,None,1,n,1.561464
excited,yellow,1,y,0.645534
aggravated,None,1,n,0.938778
vexed,blue,1,y,0.667795
ashamed,None,1,y,0.584813
depression,blue,1,y,0.434124
delighted,None,1,y,0.408166
joyous,yellow,1,y,0.428256
content,yellow,1,y,0.473905
jealous,None,1,y,0.462689
anxiety,blue,1,y,0.464623
delighted,None,2,y,0.433431
excited,yellow,2,y,0.430302
calm,None,2,y,0.495217
fascinated,None,2,y,0.620016
anxiety,blue,2,y,0.563049
vexed,blue,2,y,0.514911
jealous,None,2,y,0.492507
joyous,yellow,2,y,0.478948
content,yellow,2,y,0.481128
depression,blue,2,y,0.701638
aggravated,None,2,n,0.827683
ashamed,None,2,y,1.062032
jealous,None,3,y,0.635271
excited,yellow,3,y,0.483771
anxiety,blue,3,y,0.434523
aggravated,None,3,n,0.734366
calm,None,3,y,0.871419
fascinated,None,3,y,0.639912
ashamed,None,3,y,0.214734
depression,blue,3,y,0.62168
delighted,None,3,y,0.583586
joyous,yellow,3,y,0.584062
content,yellow,3,y,0.960617
vexed,blue,3,y,0.657637
fascinated,None,4,n,0.787685
content,yellow,4,y,0.595164
excited,yellow,4,y,0.545567
joyous,yellow,4,y,0.445692
vexed,blue,4,y,0.378921
aggravated,None,4,n,1.006774
calm,None,4,y,0.683132
anxiety,blue,4,y,1.000678
depression,blue,4,y,0.468084
jealous,None,4,y,0.470954
delighted,None,4,y,0.491821
ashamed,None,4,y,0.530273
,,,Mean = ,0.7531805773
