thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.1825],[-0.09833333333333333],[1],[0],[0],[1.5911573998164386],['target'],0,0,0,0,0.0534532000310719,,5,0.029436799930408597,0.0534532000310719,0.0534532000310719,0.029123000102117658,1.6209425998385996,[0.1825],[-0.09833333333333333],[1],[0],[0],[1.5911573998164386],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
1,0,1,[0.3416666666666667],[-0.4025],[1],[0],[0],[1.0830753999762237],['target'],1,0,1,0,1.6607285998761654,,10,1.6438322998583317,1.6607285998761654,1.6607285998761654,0.022732699988409877,2.7273197998292744,[0.3416666666666667],[-0.4025],[1],[0],[0],[1.0830753999762237],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
2,0,2,[-0.1275],[0.11666666666666667],[1],[0],[0],[1.201403700048104],['target'],2,0,2,0,2.7681557999458164,,10,2.749985799891874,2.7681557999458164,2.7681557999458164,0.022507699904963374,3.951795700006187,[-0.1275],[0.11666666666666667],[1],[0],[0],[1.201403700048104],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
3,0,3,[0.16333333333333333],[0.21],[1],[0],[0],[1.0747268998529762],['target'],3,0,3,0,3.9713798998855054,,5,3.963525200029835,3.9713798998855054,3.9713798998855054,0.011574700009077787,5.038633099989966,[0.16333333333333333],[0.21],[1],[0],[0],[1.0747268998529762],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
4,0,4,[0.24166666666666667],[-0.3675],[1],[0],[0],[1.4684353999327868],['target'],4,0,4,0,5.07956980005838,,10,5.061221699928865,5.07956980005838,5.07956980005838,0.022425999864935875,6.530138399917632,[0.24166666666666667],[-0.3675],[1],[0],[0],[1.4684353999327868],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
5,0,5,[0.014166666666666666],[0.09416666666666666],[1],[0],[0],[1.141841100063175],['target'],5,0,5,0,6.551022100029513,,5,6.542354000033811,6.551022100029513,6.551022100029513,0.011985999997705221,7.684535299893469,[0.014166666666666666],[0.09416666666666666],[1],[0],[0],[1.141841100063175],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
6,0,6,[-0.38666666666666666],[-0.060833333333333336],[1],[0],[0],[1.3086904999800026],['target'],6,0,6,0,7.7047848999500275,,5,7.69627849990502,7.7047848999500275,7.7047848999500275,0.011606399901211262,9.005329499952495,[-0.38666666666666666],[-0.060833333333333336],[1],[0],[0],[1.3086904999800026],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
7,0,7,[-0.07416666666666667],[0.165],[1],[0],[0],[1.125196099979803],['target'],7,0,7,0,9.025045800022781,,5,9.0168220999185,9.025045800022781,9.025045800022781,0.01135789998807013,10.142358599929139,[-0.07416666666666667],[0.165],[1],[0],[0],[1.125196099979803],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
8,0,8,[-0.22583333333333333],[0.31583333333333335],[1],[0],[0],[1.175364200025797],['target'],8,0,8,0,10.162450299831107,,5,10.15405620005913,10.162450299831107,10.162450299831107,0.011543700005859137,11.329819499980658,[-0.22583333333333333],[0.31583333333333335],[1],[0],[0],[1.175364200025797],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
9,0,9,[0.2775],[0.06833333333333333],[1],[0],[0],[1.4090247000567615],['target'],9,0,9,0,11.354037399869412,,5,11.341794099891558,11.354037399869412,11.354037399869412,0.01179860020056367,12.751306500053033,[0.2775],[0.06833333333333333],[1],[0],[0],[1.4090247000567615],['target'],127600,001,2024-10-11_12h00.25.095,visual search experiement,2024.2.1post4,59.91816372083085,2024-10-11 12h00.36.614521 +0530,
