WordItem,WordColor,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome_screen.started,Welcome.started,keyWelcome.started,Welcome_screen.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,Instructions.started,textInstructions.started,keyInstructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,Study_trail.started,textStudytrail.started,Study_trail.stopped,Blank_Screen.started,textBlank.started,Blank_Screen.stopped,textStudytrail.stopped,textBlank.stopped,Wait_Screen.started,textWaitScreen.started,keyWaitScreen.started,Wait_Screen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,Y_N_Screen.started,text.started,key_resp.started,Y_N_Screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration,StudyTrails.started,text_2.started,key_resp_2.started,StudyTrails.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,0.0189982,0.0343375,0.0343375,5.1339343,space,5.0296742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,5.1339943,5.1412085,5.1412085,11.308653,space,6.1581755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
content,yellow,0,0,0,,,,0,0,0,5,,,,,11.3441379,,,,,,,,,,,,,,,,11.3379722,11.3441379,13.3110648,13.3111224,13.3285306,13.8115427,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
anxiety,blue,1,1,0,,,,0,1,1,0,,,,,13.8264826,,,,,,,,,,,,,,,,13.814001,13.8264826,15.8104383,15.8104882,15.8267499,16.3096855,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
vexed,blue,2,2,0,,,,0,2,2,2,,,,,16.324864,,,,,,,,,,,,,,,,16.3130157,16.324864,18.3090951,18.309153,18.3262023,18.809601,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
excited ,yellow,3,3,0,,,,0,3,3,3,,,,,18.8245711,,,,,,,,,,,,,,,,18.812337,18.8245711,20.8089581,20.8089988,20.8241745,21.3081833,20.8241745,21.3235868,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
depression,blue,4,4,0,,,,0,4,4,1,,,,,21.3235868,,,,,,,,,,,,,,,,21.3112373,21.3235868,23.3077177,23.3077624,23.3228723,23.8076863,23.3228723,23.8221958,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
joyous,yellow,5,5,0,,,,0,5,5,4,,,,,23.8221958,,,,,,,,,,,,,,,,23.8118202,23.8221958,25.8070944,25.8071539,25.8230329,26.3223832,25.8230329,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
vexed,blue,6,0,1,,,,1,0,6,2,,,,,26.3383023,,,,,,,,,,,,,,,,26.3248387,26.3383023,28.3212787,28.3213218,28.3380617,28.8216509,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
joyous,yellow,7,1,1,,,,1,1,7,4,,,,,28.8368338,,,,,,,,,,,,,,,,28.8246991,28.8368338,30.8202077,30.8202589,30.8362606,31.3195456,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
anxiety,blue,8,2,1,,,,1,2,8,0,,,,,31.3353072,,,,,,,,,,,,,,,,31.3221375,31.3353072,33.3189856,33.3190601,33.3361242,33.8191101,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
excited ,yellow,9,3,1,,,,1,3,9,3,,,,,33.8345639,,,,,,,,,,,,,,,,33.8217729,33.8345639,35.8172031,35.8172417,35.8338498,36.3176383,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
depression,blue,10,4,1,,,,1,4,10,1,,,,,36.3331687,,,,,,,,,,,,,,,,36.3207597,36.3331687,38.317121,38.3171601,38.3336437,38.8164586,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
content,yellow,11,5,1,,,,1,5,11,5,,,,,38.8318371,,,,,,,,,,,,,,,,38.8189987,38.8318371,40.816334,40.816392,40.832593,41.3160369,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
anxiety,blue,12,0,2,,,,2,0,12,0,,,,,41.3314345,,,,,,,,,,,,,,,,41.3191833,41.3314345,43.3146599,43.3147088,43.3315828,43.8146501,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
content,yellow,13,1,2,,,,2,1,13,5,,,,,43.8305469,,,,,,,,,,,,,,,,43.8169821,43.8305469,45.8146425,45.8146886,45.8301959,46.3135703,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
depression,blue,14,2,2,,,,2,2,14,1,,,,,46.32905,,,,,,,,,,,,,,,,46.3165699,46.32905,48.3126064,48.3126773,48.3291449,48.812905,,,,,,,,,,,,,,,,,,,,,,,,Ishita,1,2024-12-06_11h47.42.285,Solo project,2024.2.4,59.95750213,2024-12-06 11h47.53.907645 +0530
