thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.435],[0.10916666666666666],[1],[0],[0],[2.7386250998824835],['target'],0,0,0,0,0.0505683000665158,,5,0.029654100071638823,0.0505683000665158,0.0505683000665158,0.02936280006542802,2.768748100148514,[-0.435],[0.10916666666666666],[1],[0],[0],[2.7386250998824835],['target'],767126,001,2024-10-11_11h21.12.526,visual search experiement,2024.2.1post4,59.722493503923104,2024-10-11 11h21.19.037181 +0530,
1,0,1,[-0.15833333333333333],[-0.405],[1],[0],[0],[1.5660199001431465],['target'],1,0,1,0,2.808441699948162,,10,2.791567200096324,2.808441699948162,2.808441699948162,0.022700499976053834,4.357928100042045,[-0.15833333333333333],[-0.405],[1],[0],[0],[1.5660199001431465],['target'],767126,001,2024-10-11_11h21.12.526,visual search experiement,2024.2.1post4,59.722493503923104,2024-10-11 11h21.19.037181 +0530,
2,0,2,[-0.04416666666666667],[0.3908333333333333],[1],[0],[0],[1.7000873999204487],['target'],2,0,2,0,4.399934000102803,,10,4.381774300010875,4.399934000102803,4.399934000102803,0.023662500083446503,6.082208700012416,[-0.04416666666666667],[0.3908333333333333],[1],[0],[0],[1.7000873999204487],['target'],767126,001,2024-10-11_11h21.12.526,visual search experiement,2024.2.1post4,59.722493503923104,2024-10-11 11h21.19.037181 +0530,
3,0,3,[-0.3025],[-0.45],[1],[0],[0],[2.1678599999286234],['target'],3,0,3,0,6.123499599983916,,10,6.105293500004336,6.123499599983916,6.123499599983916,0.022927300073206425,8.273511100094765,[-0.3025],[-0.45],[1],[0],[0],[2.1678599999286234],['target'],767126,001,2024-10-11_11h21.12.526,visual search experiement,2024.2.1post4,59.722493503923104,2024-10-11 11h21.19.037181 +0530,
4,0,4,[-0.21916666666666668],[-0.33166666666666667],[1],[0],[0],[1.1597305999603122],['target'],4,0,4,0,8.293943000026047,,5,8.285351800033823,8.293943000026047,8.293943000026047,0.011651900131255388,9.445545500144362,[-0.21916666666666668],[-0.33166666666666667],[1],[0],[0],[1.1597305999603122],['target'],767126,001,2024-10-11_11h21.12.526,visual search experiement,2024.2.1post4,59.722493503923104,2024-10-11 11h21.19.037181 +0530,
5,0,5,[0.42583333333333334],[-0.11],[1],[0],[0],[3.5660708998329937],['target'],5,0,5,0,9.485013700090349,,10,9.468060499988496,9.485013700090349,9.485013700090349,0.022377499844878912,13.034447200130671,[0.42583333333333334],[-0.11],[1],[0],[0],[3.5660708998329937],['target'],767126,001,2024-10-11_11h21.12.526,visual search experiement,2024.2.1post4,59.722493503923104,2024-10-11 11h21.19.037181 +0530,
6,0,6,[0.07166666666666667],[0.26166666666666666],[1],[0],[0],[1.575626199832186],['target'],6,0,6,0,13.07457650010474,,10,13.059836500091478,13.07457650010474,13.07457650010474,0.025166399776935577,14.635866099968553,[0.07166666666666667],[0.26166666666666666],[1],[0],[0],[1.575626199832186],['target'],767126,001,2024-10-11_11h21.12.526,visual search experiement,2024.2.1post4,59.722493503923104,2024-10-11 11h21.19.037181 +0530,
7,0,7,[-0.35833333333333334],[-0.30416666666666664],[1],[0],[0],[2.784262999892235],['target'],7,0,7,0,14.665742099983618,,5,14.648738800082356,14.665742099983618,14.665742099983618,0.012696299934759736,17.433281500125304,[-0.35833333333333334],[-0.30416666666666664],[1],[0],[0],[2.784262999892235],['target'],767126,001,2024-10-11_11h21.12.526,visual search experiement,2024.2.1post4,59.722493503923104,2024-10-11 11h21.19.037181 +0530,
8,0,8,[0.050833333333333335],[0.11833333333333333],[1],[0],[0],[2.1987296000588685],['target'],8,0,8,0,17.479398499941453,,10,17.463539800141007,17.479398499941453,17.479398499941453,0.030126200057566166,19.662597300019115,[0.050833333333333335],[0.11833333333333333],[1],[0],[0],[2.1987296000588685],['target'],767126,001,2024-10-11_11h21.12.526,visual search experiement,2024.2.1post4,59.722493503923104,2024-10-11 11h21.19.037181 +0530,
9,0,9,[-0.056666666666666664],[0.03666666666666667],[1],[0],[0],[1.008885300019756],['target'],9,0,9,0,19.68328780005686,,5,19.674814000027254,19.68328780005686,19.68328780005686,0.012045299867168069,20.68402220006101,[-0.056666666666666664],[0.03666666666666667],[1],[0],[0],[1.008885300019756],['target'],767126,001,2024-10-11_11h21.12.526,visual search experiement,2024.2.1post4,59.722493503923104,2024-10-11 11h21.19.037181 +0530,
