thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.0625],[-0.37166666666666665],[1],[0],[0],[1.7150182998739183],['target'],0,0,0,0,0.0365323000587523,,5,0.022675700020045042,0.0365323000587523,0.0365323000587523,0.02240459993481636,1.7380445001181215,[0.0625],[-0.37166666666666665],[1],[0],[0],[1.7150182998739183],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
1,0,1,[0.3933333333333333],[0.31416666666666665],[1],[0],[0],[1.9768477000761777],['target'],1,0,1,0,1.7779846999328583,,10,1.761091500055045,1.7779846999328583,1.7779846999328583,0.022870999993756413,3.738273600116372,[0.3933333333333333],[0.31416666666666665],[1],[0],[0],[1.9768477000761777],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
2,0,2,[-0.31166666666666665],[0.3308333333333333],[1],[0],[0],[2.318358700023964],['target'],2,0,2,0,3.778033399954438,,10,3.7617103999946266,3.778033399954438,3.778033399954438,0.023238599998876452,6.080574200022966,[-0.31166666666666665],[0.3308333333333333],[1],[0],[0],[2.318358700023964],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
3,0,3,[-0.034166666666666665],[-0.4625],[1],[0],[0],[1.7147709999699146],['target'],3,0,3,0,6.118824700126424,,10,6.105327700031921,6.118824700126424,6.118824700126424,0.02453850000165403,7.820482000010088,[-0.034166666666666665],[-0.4625],[1],[0],[0],[1.7147709999699146],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
4,0,4,[-0.4425],[-0.2025],[1],[0],[0],[1.1536600000690669],['target'],4,0,4,0,7.850059200078249,,5,7.832191100111231,7.850059200078249,7.850059200078249,0.011545599903911352,8.986378000117838,[-0.4425],[-0.2025],[1],[0],[0],[1.1536600000690669],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
5,0,5,[-0.20083333333333334],[0.11416666666666667],[1],[0],[0],[1.2176296999678016],['target'],5,0,5,0,9.024727799929678,,10,9.00962290004827,9.024727799929678,9.024727799929678,0.02305250009521842,10.227601800113916,[-0.20083333333333334],[0.11416666666666667],[1],[0],[0],[1.2176296999678016],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
6,0,6,[-0.405],[0.4066666666666667],[1],[0],[0],[1.8626338001340628],['target'],6,0,6,0,10.26346020004712,,10,10.250413900008425,10.26346020004712,10.26346020004712,0.022656399989500642,12.11349739995785,[-0.405],[0.4066666666666667],[1],[0],[0],[1.8626338001340628],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
7,0,7,[-0.12416666666666666],[0.07916666666666666],[1],[0],[0],[2.7171632000245154],['target'],7,0,7,0,12.153965899953619,,10,12.136516300030053,12.153965899953619,12.153965899953619,0.022833099821582437,14.854022599989548,[-0.12416666666666666],[0.07916666666666666],[1],[0],[0],[2.7171632000245154],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
8,0,8,[-0.45416666666666666],[0.0825],[1],[0],[0],[1.4768095000181347],['target'],8,0,8,0,14.89417520002462,,10,14.87835230003111,14.89417520002462,14.89417520002462,0.024147700052708387,16.355525700142607,[-0.45416666666666666],[0.0825],[1],[0],[0],[1.4768095000181347],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
9,0,9,[-0.1575],[0.34833333333333333],[1],[0],[0],[1.0468435999937356],['target'],9,0,9,0,16.391813999973238,,10,16.37874360010028,16.391813999973238,16.391813999973238,0.023030699929222465,17.42587639996782,[-0.1575],[0.34833333333333333],[1],[0],[0],[1.0468435999937356],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
10,0,10,[0.24083333333333334],[-0.28833333333333333],[1],[0],[0],[1.751816299976781],['target'],10,0,10,0,17.466277400031686,,10,17.449060500133783,17.466277400031686,17.466277400031686,0.023033299949020147,19.201321200001985,[0.24083333333333334],[-0.28833333333333333],[1],[0],[0],[1.751816299976781],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
11,0,11,[-0.13166666666666665],[0.39166666666666666],[1],[0],[0],[1.8761764001101255],['target'],11,0,11,0,19.221860599936917,,5,19.213452100055292,19.221860599936917,19.221860599936917,0.01197130000218749,21.090001299977303,[-0.13166666666666665],[0.39166666666666666],[1],[0],[0],[1.8761764001101255],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
12,0,12,[0.20583333333333334],[-0.19],[1],[0],[0],[2.075318899936974],['target'],12,0,12,0,21.110976899974048,,5,21.10199180012569,21.110976899974048,21.110976899974048,0.011860399972647429,23.177776399999857,[0.20583333333333334],[-0.19],[1],[0],[0],[2.075318899936974],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
13,0,13,[0.18083333333333335],[0.24666666666666667],[1],[0],[0],[1.2253392999991775],['target'],13,0,13,0,23.19852440012619,,5,23.189889600034803,23.19852440012619,23.19852440012619,0.01195090007968247,24.415576400002465,[0.18083333333333335],[0.24666666666666667],[1],[0],[0],[1.2253392999991775],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
14,0,14,[0.30916666666666665],[0.17583333333333334],[1],[0],[0],[1.3251141000073403],['target'],14,0,14,0,24.435203100088984,,5,24.427541899960488,24.435203100088984,24.435203100088984,0.0118217000272125,25.752969600027427,[0.30916666666666665],[0.17583333333333334],[1],[0],[0],[1.3251141000073403],['target'],994610,001,2024-10-11_11h34.18.911,visual search experiement,2024.2.1post4,59.79849100039085,2024-10-11 11h34.25.059141 +0530,
