WordItem,WordColor,thisRepN,key_resp_2.keys,key_resp_2.rt
anxiety,blue,0,,
depression,blue,0,,
joyous,yellow,0,,
content,yellow,0,,
vexed,blue,0,,
excited,yellow,0,,
vexed,blue,1,,
joyous,yellow,1,,
depression,blue,1,,
excited,yellow,1,,
anxiety,blue,1,,
content,yellow,1,,
content,yellow,2,,
anxiety,blue,2,,
joyous,yellow,2,,
vexed,blue,2,,
depression,blue,2,,
excited,yellow,2,,
excited,yellow,3,,
depression,blue,3,,
anxiety,blue,3,,
vexed,blue,3,,
content,yellow,3,,
joyous,yellow,3,,
content,yellow,4,,
depression,blue,4,,
excited,yellow,4,,
anxiety,blue,4,,
joyous,yellow,4,,
vexed,blue,4,,
,,,,
,,,,
anxiety,blue,0,y,1.20072
depression,blue,0,y,0.560338
jealous,None,0,y,0.407141
fascinated,None,0,n,0.83896
excited,yellow,0,n,1.050875
content,yellow,0,y,0.605143
ashamed,None,0,y,0.869038
joyous,yellow,0,y,0.66554
delighted,None,0,y,0.574783
vexed,blue,0,y,0.786144
aggravated,None,0,n,0.775361
calm,None,0,y,0.943675
anxiety,blue,1,y,0.777148
vexed,blue,1,y,0.682232
depression,blue,1,n,0.995958
ashamed,None,1,y,0.578918
aggravated,None,1,n,1.432429
content,yellow,1,n,0.953515
jealous,None,1,y,0.657744
joyous,yellow,1,y,0.481799
fascinated,None,1,n,1.060286
calm,None,1,y,0.7315
delighted,None,1,y,0.475632
excited,yellow,1,y,0.516171
vexed,blue,2,y,0.482907
delighted,None,2,y,0.70233
content,yellow,2,n,0.706062
anxiety,blue,2,y,0.996857
calm,None,2,n,0.739186
joyous,yellow,2,y,0.694259
jealous,None,2,y,0.388622
depression,blue,2,n,0.931605
fascinated,None,2,y,0.391375
excited,yellow,2,y,1.315441
aggravated,None,2,n,0.637857
ashamed,None,2,y,0.705605
content,yellow,3,n,0.778826
ashamed,None,3,n,0.716679
depression,blue,3,y,0.641843
jealous,None,3,y,0.706101
anxiety,blue,3,y,2.165773
delighted,None,3,y,2.84608
vexed,blue,3,y,0.523995
aggravated,None,3,n,0.83169
calm,None,3,y,1.13525
joyous,yellow,3,y,0.516732
fascinated,None,3,n,0.638305
excited,yellow,3,y,0.529178
aggravated,None,4,n,0.706586
excited,yellow,4,y,0.522657
jealous,None,4,y,0.701783
ashamed,None,4,y,0.554433
joyous,yellow,4,y,5.783904
delighted,None,4,y,0.494371
depression,blue,4,y,0.473371
content,yellow,4,n,1.059167
calm,None,4,y,0.526474
anxiety,blue,4,n,0.646323
vexed,blue,4,y,0.366181
fascinated,None,4,n,0.694161
vexed,blue,0,y,1.031016
anxiety,blue,0,y,0.479062
joyous,yellow,0,y,0.419702
excited,yellow,0,y,0.388597
aggravated,None,0,n,1.318533
depression,blue,0,y,0.716989
ashamed,None,0,y,0.352179
jealous,None,0,y,0.282812
fascinated,None,0,y,0.292524
delighted,None,0,y,0.392196
content,yellow,0,y,0.296993
calm,None,0,y,0.360236
aggravated,None,1,n,1.005416
anxiety,blue,1,y,1.666807
depression,blue,1,y,0.419463
content,yellow,1,y,0.306966
calm,None,1,y,0.268902
joyous,yellow,1,y,0.262316
fascinated,None,1,y,0.351859
delighted,None,1,y,0.726668
ashamed,None,1,y,0.578536
vexed,blue,1,y,0.354298
jealous,None,1,y,0.291313
excited,yellow,1,y,0.288374
jealous,None,2,y,0.292899
delighted,None,2,y,0.362323
aggravated,None,2,n,0.783376
joyous,yellow,2,y,0.603099
ashamed,None,2,y,0.171337
content,yellow,2,y,0.140501
calm,None,2,y,0.317715
vexed,blue,2,y,0.335519
fascinated,None,2,y,0.450382
excited,yellow,2,y,0.394091
depression,blue,2,y,0.543065
anxiety,blue,2,y,0.50873
content,yellow,3,y,0.398836
vexed,blue,3,y,0.373704
joyous,yellow,3,y,0.357663
fascinated,None,3,y,0.453146
delighted,None,3,y,0.360702
anxiety,blue,3,y,0.482009
excited,yellow,3,y,0.390993
jealous,None,3,y,0.333165
ashamed,None,3,y,0.592123
depression,blue,3,y,0.454132
calm,None,3,y,0.3961
aggravated,None,3,n,0.830737
aggravated,None,4,n,1.075248
ashamed,None,4,y,0.496623
joyous,yellow,4,y,0.28523
depression,blue,4,y,0.197179
delighted,None,4,y,0.186047
calm,None,4,y,0.157076
fascinated,None,4,y,0.191867
jealous,None,4,y,0.36109
vexed,blue,4,y,0.438849
excited,yellow,4,y,0.343421
anxiety,blue,4,y,0.312684
content,yellow,4,y,0.375601
,,,Mean =,0.5469267539
