thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.4166666666666667],[0.29583333333333334],[1],[0],[0],[1.3251014999113977],['target'],0,0,0,0,0.050440399907529354,,5,0.02698739990592003,0.050440399907529354,0.050440399907529354,0.026701599825173616,1.3525318999309093,[-0.4166666666666667],[0.29583333333333334],[1],[0],[0],[1.3251014999113977],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
1,0,1,[0.25166666666666665],[0.20916666666666667],[1],[0],[0],[1.8823390000034124],['target'],1,0,1,0,1.3901047001127154,,10,1.375874200137332,1.3901047001127154,1.3901047001127154,0.023194900015369058,3.258685600012541,[0.25166666666666665],[0.20916666666666667],[1],[0],[0],[1.8823390000034124],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
2,0,2,[-0.050833333333333335],[0.2708333333333333],[1],[0],[0],[1.0591101001482457],['target'],2,0,2,0,3.279391699936241,,5,3.2710184000898153,3.279391699936241,3.279391699936241,0.012106700101867318,4.330556400120258,[-0.050833333333333335],[0.2708333333333333],[1],[0],[0],[1.0591101001482457],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
3,0,3,[-0.1775],[-0.475],[1],[0],[0],[2.9241390000097454],['target'],3,0,3,0,4.350595399970189,,5,4.34274740004912,4.350595399970189,4.350595399970189,0.012053900165483356,7.267250600038096,[-0.1775],[-0.475],[1],[0],[0],[2.9241390000097454],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
4,0,4,[0.24416666666666667],[0.19166666666666668],[1],[0],[0],[1.3912714999169111],['target'],4,0,4,0,7.28740520006977,,5,7.27918569999747,7.28740520006977,7.28740520006977,0.011802100110799074,8.670820000115782,[0.24416666666666667],[0.19166666666666668],[1],[0],[0],[1.3912714999169111],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
5,0,5,[0.38],[-0.24083333333333334],[1],[0],[0],[1.9837714000605047],['target'],5,0,5,0,8.711570000043139,,10,8.69511829991825,8.711570000043139,8.711570000043139,0.024142300011590123,10.679330199956894,[0.38],[-0.24083333333333334],[1],[0],[0],[1.9837714000605047],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
6,0,6,[-0.45],[0.2866666666666667],[1],[0],[0],[1.3579190000891685],['target'],6,0,6,0,10.701300000073388,,5,10.69267260003835,10.701300000073388,10.701300000073388,0.013142199954017997,12.050939199980348,[-0.45],[0.2866666666666667],[1],[0],[0],[1.3579190000891685],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
7,0,7,[0.0725],[0.2925],[1],[0],[0],[2.0174905001185834],['target'],7,0,7,0,12.092387200100347,,10,12.074155099922791,12.092387200100347,12.092387200100347,0.023080899845808744,14.091997900046408,[0.0725],[0.2925],[1],[0],[0],[2.0174905001185834],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
8,0,8,[0.25833333333333336],[0.056666666666666664],[1],[0],[0],[1.4345296998508275],['target'],8,0,8,0,14.133121700026095,,10,14.115361500065774,14.133121700026095,14.133121700026095,0.02312940009869635,15.55033509992063,[0.25833333333333336],[0.056666666666666664],[1],[0],[0],[1.4345296998508275],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
9,0,9,[0.051666666666666666],[0.14916666666666667],[1],[0],[0],[0.9596955999732018],['target'],9,0,9,0,15.571313000051305,,5,15.562293299939483,15.571313000051305,15.571313000051305,0.011791700031608343,16.522431200137362,[0.051666666666666666],[0.14916666666666667],[1],[0],[0],[0.9596955999732018],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
