9.6948 	INFO 	Loaded monitor calibration from ['2024_08_23 11:36']
9.7058 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
10.0879 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000197D468F610>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000197D468F670>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000197D471CCD0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.0881 	EXP 	window1: backgroundImage = ''
10.0881 	EXP 	window1: backgroundFit = 'none'
10.1720 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.1721 	EXP 	window1: recordFrameIntervals = False
10.4600 	EXP 	window1: recordFrameIntervals = True
10.6438 	EXP 	Screen (0) actual frame rate measured at 59.94Hz
10.6439 	EXP 	window1: recordFrameIntervals = False
14.4023 	INFO 	keyboard.Keyboard is using iohub backend.
14.4024 	INFO 	keyboard.Keyboard is using iohub backend.
14.4024 	EXP 	Signal Detection: status = STARTED
14.4060 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
14.4101 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0057 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0210 	EXP 	grating: ori = -3.0
0.0210 	EXP 	Fixation: autoDraw = True
1.0042 	INFO 	Keyboard events cleared
1.0038 	EXP 	grating: autoDraw = True
1.0038 	EXP 	grating: tex = 'sin'
1.0214 	EXP 	Fixation: autoDraw = False
1.3052 	EXP 	grating: autoDraw = False
