thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt
0,0,0,up,0,0.4002844,None,-3
1,0,1,up,0,0.412918,None,-5
2,0,2,up,1,0.2383605,None,0
3,0,3,up,0,0.2554858,None,-2
4,0,4,up,1,0.2106835,None,0
5,0,5,up,1,0.2662578,None,0
6,0,6,up,0,0.2816868,None,-4
7,0,7,up,1,0.3829736,None,0
8,0,8,up,0,0.2202129,None,-2
9,0,9,up,0,0.2302025,None,4
10,0,10,up,0,0.2290034,None,-2
11,0,11,down,1,0.2901216,None,2
12,0,12,down,0,0.273659,None,0
13,0,13,down,0,0.3684659,None,0
14,0,14,up,1,0.210767,None,0
15,0,15,up,1,0.291362,None,0
16,0,16,up,0,0.2724139,None,4
17,0,17,up,1,0.7779335,None,0
18,0,18,up,1,0.6618393,None,0
19,0,19,up,1,0.5470476,None,0
20,0,20,up,1,0.1975671,None,0
21,0,21,up,1,0.2606202,None,0
22,0,22,up,1,0.0099762,None,0
23,0,23,up,0,0.0945442,None,-4
24,0,24,up,0,1.9940423,None,4
25,0,25,up,1,0.0080856,None,0
26,0,26,up,1,0.5245063,None,0
27,0,27,up,0,0.2689299,None,-5
28,0,28,up,1,0.1724611,None,0
29,0,29,up,0,0.1589843,None,2
30,0,30,up,1,0.2165615,None,0
31,0,31,up,0,0.6146497,None,-2
32,0,32,up,0,0.1927492,None,-3
33,0,33,up,0,0.2123464,None,4
34,0,34,up,1,0.0749358,None,0
35,0,35,up,0,0.1391873,None,3
36,0,36,up,1,0.2014102,None,0
37,0,37,up,0,0.31989,None,4
38,0,38,down,1,0.2790896,None,2
39,0,39,down,0,0.2833153,None,0
40,0,40,down,0,0.1075136,None,0
41,0,41,down,0,0.4274184,None,0
42,0,42,down,1,0.4832446,None,1
43,0,43,down,0,0.3951442,None,0
44,0,44,up,0,0.5304072,None,2
45,0,45,up,1,0.2450681,None,0
46,0,46,up,1,0.1304635,None,0
47,0,47,up,0,0.0208327,None,-4
48,0,48,up,1,0.1439573,None,0
49,0,49,up,0,0.0150628,None,-3
50,0,50,up,0,1.230603,None,-3
51,0,51,up,0,0.1689202,None,1
52,0,52,up,0,1.7239739,None,-2
53,0,53,up,0,0.3161431,None,-2
54,0,54,up,0,0.1836973,None,-2
55,0,55,up,1,0.1824962,None,0
56,0,56,up,1,0.1751742,None,0
57,0,57,up,0,0.0254929,None,-4
58,0,58,up,0,2.7424754,None,3
59,0,59,up,0,0.1805754,None,-5
60,0,60,up,1,0.222236,None,0
61,0,61,up,0,0.2107455,None,-5
62,0,62,down,1,0.2522649,None,4
63,0,63,down,0,0.2489705,None,0
64,0,64,down,1,0.2274564,None,4
65,0,65,down,0,0.3346509,None,0
66,0,66,down,0,0.0320278,None,0
67,0,67,down,0,0.1877191,None,0
68,0,68,down,0,0.2956811,None,0
69,0,69,down,0,0.2072058,None,0
70,0,70,down,0,0.1505581,None,0
71,0,71,down,1,0.4336972,None,-5
72,0,72,down,0,0.1418716,None,0
73,0,73,down,1,0.3557731,None,-2
74,0,74,down,0,0.2993847,None,0
75,0,75,down,0,0.8944949,None,0
76,0,76,down,1,0.3183525,None,-2
77,0,77,down,0,0.1501092,None,0
78,0,78,down,1,0.2202794,None,4
79,0,79,down,0,0.226799,None,0
80,0,80,down,1,0.272016,None,2
81,0,81,down,1,0.2144022,None,-5
82,0,82,down,1,0.0379636,None,3
83,0,83,down,0,0.4838785,None,0
84,0,84,down,0,0.2203629,None,0
85,0,85,down,1,0.049859,None,2
86,0,86,down,0,0.1746663,None,0
87,0,87,down,0,0.1501967,None,0
88,0,88,down,1,0.0376726,None,4
89,0,89,down,0,0.089261,None,0
90,0,90,down,0,0.194016,None,0
91,0,91,down,1,0.1023718,None,2
92,0,92,down,0,0.1833611,None,0
93,0,93,down,1,0.410739,None,3
94,0,94,down,1,0.2040227,None,-3
95,0,95,down,1,0.6606079,None,-5
96,0,96,down,1,1.1235715,None,3
97,0,97,down,0,0.1841304,None,0
98,0,98,down,1,0.1470993,None,2
99,0,99,down,1,0.1690657,None,-2
